Name,Comment,Time,Likes,Reply Count
annag cocl,6:58 So it's chicken with sun sauce? 7:04 Holy! You got fire breath!,2022-07-12T13:24:50Z,0,0
braxton vance,wassup,2022-07-12T04:16:12Z,0,0
PatriotX,They gotta do dis wit popularmmos lmao,2022-07-11T21:33:59Z,0,0
Jose rico,Moonilad😂😂,2022-07-11T14:11:08Z,0,0
Vonex,All hail Vanoss lmao,2022-07-11T13:21:22Z,0,0
Regdu Geht,Literally remaking part of my childhood,2022-07-11T12:39:52Z,0,0
Luh Camm Live,Been watching vanoss since 2012 it’s amazing being able to say I’ve seen his come up,2022-07-11T09:32:32Z,2,0
Turned Wheat,"The ending 🤣. And the fight, 2 hearts, and lot's of meat 🍖 lol",2022-07-11T07:48:17Z,0,0
No Name ඩා,Noice,2022-07-11T03:50:10Z,1,0
Beafy Bean,“PRIDE SHEEP” 😂I love that,2022-07-11T02:14:02Z,0,0
misuyy fong,"I've rewatched the whole minecraft Playlist, MOREEEEE",2022-07-11T00:45:17Z,0,0
Brenda Arredondo,You are a cool censos,2022-07-10T16:32:47Z,0,1
Regdu Geht,Vanoss Vanoss Vanoss,2022-07-11T12:40:25Z,0,
H Y A,saw noglas video of him saying he hated this session XDDD,2022-07-10T15:19:27Z,0,0
Aziz Karimi,Amazing🔥,2022-07-10T13:32:28Z,0,1
misuyy fong,P,2022-07-11T00:45:47Z,0,
WA,This is amazing,2022-07-10T11:15:36Z,0,0
zuckbuck,all hail vanoss,2022-07-10T07:03:34Z,0,0
Janey 🔥F-'ck M'-e - Check my P'ro'fi-le🔥,#LNF,2022-07-10T03:54:25Z,0,0
Rita 25 y.o - check my vidéó,haven't seen this genre in a while,2022-07-10T02:21:53Z,0,0
Nena 🔥 F-'ck M'-e - Check my P'ro'fi-le🔥,"This is such a throwback to Popularmmos, i love it",2022-07-10T00:50:27Z,0,0
Lue 🔥 I WANT SЕХ 💋 F Uc_k me,I like when y’all play Minecraft it’s funny seeing y’all make the game fun,2022-07-09T23:18:56Z,1,0
q12wwwwwwwwwwww,All hail Vanoss,2022-07-09T22:30:59Z,0,0
👁ᗰ4GG0Tᘔ_ᖴ0ᖇ_ᖴᖇ33🌞,:),2022-07-09T16:38:36Z,0,0
